,Title,Geek Rating,Link,Min Player No.,Max Player No.,Weight,Designers,Categories,Mechanics,Reimplements,Reimplemented by
0,Gloomhaven,8.529,https://boardgamegeek.com/boardgame/174430/gloomhaven,1.0,4.0,3.87,['Isaac Childres'],"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Action Queue', 'Action Retrieval', 'Campaign / Battle Card Driven', 'Card Play Conflict Resolution', 'Communication Limits', 'Cooperative Game', 'Critical Hits and Failures', 'Deck Construction', 'Deck, Bag, and Pool Building', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Legacy Game', 'Modular Board', 'Once-Per-Game Abilities', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Storytelling', 'Variable Player Powers']",[],[]
1,Pandemic Legacy: Season 1,8.452,https://boardgamegeek.com/boardgame/161936/pandemic-legacy-season-1,2.0,4.0,2.83,"['Rob Daviau', 'Matt Leacock']","['Environmental', 'Medical']","['Action Points', 'Cooperative Game', 'Hand Management', 'Legacy Game', 'Point to Point Movement', 'Set Collection', 'Trading', 'Variable Player Powers']",['Pandemic (2008)'],['Pandemic Legacy: Season 2 (2017)']
2,Brass: Birmingham,8.409,https://boardgamegeek.com/boardgame/224517/brass-birmingham,2.0,4.0,3.91,"['Gavan Brown', 'Matt Tolman', 'Martin Wallace']","['Economic', 'Industry / Manufacturing', 'Transportation']","['Hand Management', 'Income', 'Loans', 'Market', 'Network and Route Building', 'Score-and-Reset Game', 'Tech Trees / Tech Tracks', 'Turn Order: Stat-Based', 'Variable Set-up']",['Brass: Lancashire (2007)'],[]
3,Terraforming Mars,8.279,https://boardgamegeek.com/boardgame/167791/terraforming-mars,1.0,5.0,3.24,['Jacob Fryxelius'],"['Economic', 'Environmental', 'Industry / Manufacturing', 'Science Fiction', 'Space Exploration', 'Territory Building']","['Drafting', 'End Game Bonuses', 'Hand Management', 'Hexagon Grid', 'Income', 'Set Collection', 'Solo / Solitaire Game', 'Take That', 'Tile Placement', 'Turn Order: Progressive', 'Variable Player Powers']",[],"['Terraforming Mars: Ares Expedition (2021)', 'Terraforming Mars: Dice Game (2021)']"
4,Gloomhaven: Jaws of the Lion,8.261,https://boardgamegeek.com/boardgame/291457/gloomhaven-jaws-lion,1.0,4.0,3.56,['Isaac Childres'],"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Action Queue', 'Action Retrieval', 'Campaign / Battle Card Driven', 'Communication Limits', 'Cooperative Game', 'Critical Hits and Failures', 'Deck Construction', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Legacy Game', 'Line of Sight', 'Once-Per-Game Abilities', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Variable Player Powers']",[],[]
5,Twilight Imperium: Fourth Edition,8.257,https://boardgamegeek.com/boardgame/233078/twilight-imperium-fourth-edition,3.0,6.0,4.24,"['Dane Beltrami', 'Corey Konieczka', 'Christian T. Petersen']","['Civilization', 'Economic', 'Exploration', 'Negotiation', 'Political', 'Science Fiction', 'Space Exploration', 'Wargame']","['Action Drafting', 'Area Majority / Influence', 'Area-Impulse', 'Dice Rolling', 'Follow', 'Grid Movement', 'Hexagon Grid', 'King of the Hill', 'Modular Board', 'Tech Trees / Tech Tracks', 'Trading', 'Variable Phase Order', 'Variable Player Powers', 'Voting']",['Twilight Imperium: Third Edition (2005)'],[]
6,Gaia Project,8.177,https://boardgamegeek.com/boardgame/220308/gaia-project,1.0,4.0,4.36,"['Jens Drögemüller', 'Helge Ostertag']","['Economic', 'Science Fiction', 'Space Exploration', 'Territory Building']","['End Game Bonuses', 'Hexagon Grid', 'Income', 'Modular Board', 'Network and Route Building', 'Solo / Solitaire Game', 'Tech Trees / Tech Tracks', 'Turn Order: Pass Order', 'Variable Player Powers', 'Variable Set-up', 'Victory Points as a Resource']",['Terra Mystica (2012)'],[]
7,Star Wars: Rebellion,8.173,https://boardgamegeek.com/boardgame/187645/star-wars-rebellion,2.0,4.0,3.72,['Corey Konieczka'],"['Civil War', 'Fighting', 'Miniatures', 'Movies / TV / Radio theme', 'Science Fiction', 'Wargame']","['Area Majority / Influence', 'Area Movement', 'Area-Impulse', 'Delayed Purchase', 'Dice Rolling', 'Hand Management', 'Team-Based Game', 'Variable Player Powers']",[],[]
8,Through the Ages: A New Story of Civilization,8.162,https://boardgamegeek.com/boardgame/182028/through-ages-new-story-civilization,2.0,4.0,4.41,['Vlaada Chvátil'],"['Card Game', 'Civilization', 'Economic']","['Action Points', 'Auction/Bidding', 'Auction: Dutch', 'Card Drafting', 'Events', 'Income', 'Take That']",['Through the Ages: A Story of Civilization (2006)'],[]
9,Great Western Trail,8.129,https://boardgamegeek.com/boardgame/193738/great-western-trail,2.0,4.0,3.71,['Alexander Pfister'],"['American West', 'Animals', 'Economic']","['Deck, Bag, and Pool Building', 'Hand Management', 'Ownership', 'Point to Point Movement', 'Rondel', 'Set Collection', 'Track Movement', 'Variable Set-up']",[],['Great Western Trail (Second Edition) (2021)']
10,Spirit Island,8.127,https://boardgamegeek.com/boardgame/162886/spirit-island,1.0,4.0,4.02,['R. Eric Reuss'],"['Age of Reason', 'Environmental', 'Fantasy', 'Fighting', 'Mythology', 'Renaissance', 'Territory Building']","['Action Retrieval', 'Area Majority / Influence', 'Campaign / Battle Card Driven', 'Cooperative Game', 'Events', 'Hand Management', 'Modular Board', 'Set Collection', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Variable Player Powers']",[],[]
11,War of the Ring: Second Edition,8.126,https://boardgamegeek.com/boardgame/115746/war-ring-second-edition,2.0,4.0,4.17,"['Roberto Di Meglio', 'Marco Maggi', 'Francesco Nepitello']","['Adventure', 'Fantasy', 'Fighting', 'Miniatures', 'Novel-based', 'Territory Building', 'Wargame']","['Area Majority / Influence', 'Area Movement', 'Campaign / Battle Card Driven', 'Card Play Conflict Resolution', 'Dice Rolling', 'Events', 'Hand Management', 'Hidden Movement', 'Movement Points', 'Simulation', 'Team-Based Game', 'Variable Set-up']",['War of the Ring (2004)'],[]
12,Twilight Struggle,8.122,https://boardgamegeek.com/boardgame/12333/twilight-struggle,2.0,2.0,3.59,"['Ananda Gupta', 'Jason Matthews']","['Modern Warfare', 'Political', 'Wargame']","['Action/Event', 'Advantage Token', 'Area Majority / Influence', 'Campaign / Battle Card Driven', 'Dice Rolling', 'Events', 'Hand Management', 'Simulation', 'Simultaneous Action Selection', 'Sudden Death Ending', 'Tug of War']",[],[]
13,Scythe,8.072,https://boardgamegeek.com/boardgame/169786/scythe,1.0,5.0,3.42,['Jamey Stegmaier'],"['Economic', 'Fighting', 'Miniatures', 'Science Fiction', 'Territory Building']","['Action Drafting', 'Card Play Conflict Resolution', 'End Game Bonuses', 'Force Commitment', 'Grid Movement', 'Hexagon Grid', 'King of the Hill', 'Movement Points', 'Narrative Choice / Paragraph', 'Solo / Solitaire Game', 'Tech Trees / Tech Tracks', 'Variable Player Powers', 'Victory Points as a Resource']",[],['My Little Scythe (2017)']
14,The Castles of Burgundy,8.01,https://boardgamegeek.com/boardgame/84876/castles-burgundy,2.0,4.0,3.0,['Stefan Feld'],"['Dice', 'Medieval', 'Territory Building']","['Dice Rolling', 'Grid Coverage', 'Hexagon Grid', 'Set Collection', 'Tile Placement', 'Turn Order: Stat-Based', 'Worker Placement with Dice Workers']",[],"['The Castles of Burgundy: The Card Game (2016)', 'The Castles of Burgundy: The Dice Game (2017)']"
15,7 Wonders Duel,7.983,https://boardgamegeek.com/boardgame/173346/7-wonders-duel,2.0,2.0,2.22,"['Antoine Bauza', 'Bruno Cathala']","['Ancient', 'Card Game', 'City Building', 'Civilization', 'Economic']","['Card Drafting', 'Layering', 'Set Collection', 'Sudden Death Ending', 'Tug of War']",['7 Wonders (2010)'],[]
16,Terra Mystica,7.978,https://boardgamegeek.com/boardgame/120677/terra-mystica,2.0,5.0,3.96,"['Jens Drögemüller', 'Helge Ostertag']","['Civilization', 'Economic', 'Fantasy', 'Territory Building']","['End Game Bonuses', 'Hexagon Grid', 'Income', 'Increase Value of Unchosen Resources', 'Network and Route Building', 'Tech Trees / Tech Tracks', 'Turn Order: Pass Order', 'Variable Player Powers', 'Variable Set-up', 'Victory Points as a Resource']",[],['Gaia Project (2017)']
17,Concordia,7.966,https://boardgamegeek.com/boardgame/124361/concordia,2.0,5.0,3.02,['Mac Gerdts'],"['Ancient', 'Economic', 'Nautical']","['Action Retrieval', 'Advantage Token', 'Auction: Dutch', 'Card Drafting', 'Deck, Bag, and Pool Building', 'Hand Management', 'Movement Points', 'Point to Point Movement', 'Set Collection', 'Variable Set-up']",[],['Concordia Venus (2018)']
18,Brass: Lancashire,7.965,https://boardgamegeek.com/boardgame/28720/brass-lancashire,2.0,4.0,3.86,['Martin Wallace'],"['Economic', 'Industry / Manufacturing', 'Post-Napoleonic', 'Transportation']","['Hand Management', 'Income', 'Loans', 'Market', 'Network and Route Building', 'Score-and-Reset Game', 'Tech Trees / Tech Tracks']",[],"['Age of Industry (2010)', 'Brass: Birmingham (2018)']"
19,Nemesis,7.952,https://boardgamegeek.com/boardgame/167355/nemesis,1.0,5.0,3.37,['Adam Kwapiński'],"['Adventure', 'Horror', 'Miniatures', 'Science Fiction']","['Campaign / Battle Card Driven', 'Cooperative Game', 'Dice Rolling', 'Hidden Roles', 'Modular Board', 'Player Elimination', 'Semi-Cooperative Game', 'Solo / Solitaire Game', 'Team-Based Game', 'Traitor Game', 'Variable Player Powers']",[],[]
20,Wingspan,7.947,https://boardgamegeek.com/boardgame/266192/wingspan,1.0,5.0,2.43,['Elizabeth Hargrave'],"['Animals', 'Card Game', 'Educational']","['Card Drafting', 'Dice Rolling', 'Drafting', 'End Game Bonuses', 'Hand Management', 'Set Collection', 'Solo / Solitaire Game']",[],[]
21,A Feast for Odin,7.938,https://boardgamegeek.com/boardgame/177736/feast-odin,1.0,4.0,3.84,['Uwe Rosenberg'],"['Economic', 'Industry / Manufacturing', 'Medieval', 'Puzzle']","['Automatic Resource Growth', 'Dice Rolling', 'Grid Coverage', 'Income', 'Push Your Luck', 'Solo / Solitaire Game', 'Tile Placement', 'Turn Order: Pass Order', 'Worker Placement']",[],[]
22,Arkham Horror: The Card Game,7.926,https://boardgamegeek.com/boardgame/205637/arkham-horror-card-game,1.0,2.0,3.46,"['Nate French', 'MJ Newman']","['Adventure', 'Card Game', 'Collectible Components', 'Fantasy', 'Horror', 'Novel-based']","['Action Points', 'Cooperative Game', 'Deck Construction', 'Hand Management', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Stat Check Resolution', 'Variable Player Powers']",[],[]
23,Viticulture Essential Edition,7.903,https://boardgamegeek.com/boardgame/183394/viticulture-essential-edition,1.0,6.0,2.9,"['Jamey Stegmaier', 'Alan Stone']","['Economic', 'Farming']","['Contracts', 'Hand Management', 'Solo / Solitaire Game', 'Turn Order: Auction', 'Victory Points as a Resource', 'Worker Placement', 'Worker Placement, Different Worker Types']",['Viticulture (2013)'],[]
