Title,Geek Rating,Link
Gloomhaven,8.529,https://boardgamegeek.com/boardgame/174430/gloomhaven
Pandemic Legacy: Season 1,8.452,https://boardgamegeek.com/boardgame/161936/pandemic-legacy-season-1
Brass: Birmingham,8.409,https://boardgamegeek.com/boardgame/224517/brass-birmingham
Terraforming Mars,8.279,https://boardgamegeek.com/boardgame/167791/terraforming-mars
Gloomhaven: Jaws of the Lion,8.261,https://boardgamegeek.com/boardgame/291457/gloomhaven-jaws-lion
Twilight Imperium: Fourth Edition,8.257,https://boardgamegeek.com/boardgame/233078/twilight-imperium-fourth-edition
Gaia Project,8.177,https://boardgamegeek.com/boardgame/220308/gaia-project
Star Wars: Rebellion,8.173,https://boardgamegeek.com/boardgame/187645/star-wars-rebellion
Through the Ages: A New Story of Civilization,8.162,https://boardgamegeek.com/boardgame/182028/through-ages-new-story-civilization
Great Western Trail,8.129,https://boardgamegeek.com/boardgame/193738/great-western-trail
Spirit Island,8.127,https://boardgamegeek.com/boardgame/162886/spirit-island
War of the Ring: Second Edition,8.126,https://boardgamegeek.com/boardgame/115746/war-ring-second-edition
Twilight Struggle,8.122,https://boardgamegeek.com/boardgame/12333/twilight-struggle
Scythe,8.072,https://boardgamegeek.com/boardgame/169786/scythe
The Castles of Burgundy,8.010,https://boardgamegeek.com/boardgame/84876/castles-burgundy
7 Wonders Duel,7.983,https://boardgamegeek.com/boardgame/173346/7-wonders-duel
Terra Mystica,7.978,https://boardgamegeek.com/boardgame/120677/terra-mystica
Concordia,7.966,https://boardgamegeek.com/boardgame/124361/concordia
Brass: Lancashire,7.965,https://boardgamegeek.com/boardgame/28720/brass-lancashire
Nemesis,7.952,https://boardgamegeek.com/boardgame/167355/nemesis
Wingspan,7.947,https://boardgamegeek.com/boardgame/266192/wingspan
A Feast for Odin,7.938,https://boardgamegeek.com/boardgame/177736/feast-odin
Arkham Horror: The Card Game,7.926,https://boardgamegeek.com/boardgame/205637/arkham-horror-card-game
Viticulture Essential Edition,7.903,https://boardgamegeek.com/boardgame/183394/viticulture-essential-edition
Orléans,7.888,https://boardgamegeek.com/boardgame/164928/orleans
Root,7.882,https://boardgamegeek.com/boardgame/237182/root
Mage Knight Board Game,7.880,https://boardgamegeek.com/boardgame/96848/mage-knight-board-game
Everdell,7.864,https://boardgamegeek.com/boardgame/199792/everdell
Puerto Rico,7.848,https://boardgamegeek.com/boardgame/3076/puerto-rico
Dune: Imperium,7.841,https://boardgamegeek.com/boardgame/316554/dune-imperium
Caverna: The Cave Farmers,7.835,https://boardgamegeek.com/boardgame/102794/caverna-cave-farmers
Food Chain Magnate,7.832,https://boardgamegeek.com/boardgame/175914/food-chain-magnate
Blood Rage,7.821,https://boardgamegeek.com/boardgame/170216/blood-rage
Agricola,7.818,https://boardgamegeek.com/boardgame/31260/agricola
